# 公保費率與自付額表
# 費率 7.22%（民國114年），自付比例 35%
# 自付額 = 本俸 × 7.22% × 35%（四捨五入至整數）
effective_date,base_salary,rate_basis_points,self_pay_ratio_basis_points,self_payment
2025-01-01,13380,722,3500,338
2025-01-01,13920,722,3500,352
2025-01-01,14460,722,3500,365
2025-01-01,15000,722,3500,379
2025-01-01,15540,722,3500,393
2025-01-01,16090,722,3500,407
2025-01-01,16630,722,3500,420
2025-01-01,17390,722,3500,439
2025-01-01,18160,722,3500,459
2025-01-01,18920,722,3500,478
2025-01-01,19690,722,3500,498
2025-01-01,20460,722,3500,517
2025-01-01,21220,722,3500,536
2025-01-01,21990,722,3500,556
2025-01-01,22750,722,3500,575
2025-01-01,23520,722,3500,594
2025-01-01,24290,722,3500,614
2025-01-01,25050,722,3500,633
2025-01-01,25820,722,3500,652
2025-01-01,26580,722,3500,672
2025-01-01,27350,722,3500,691
2025-01-01,28120,722,3500,711
2025-01-01,29270,722,3500,740
2025-01-01,30410,722,3500,768
2025-01-01,31560,722,3500,798
2025-01-01,32710,722,3500,827
2025-01-01,33860,722,3500,856
2025-01-01,35010,722,3500,885
2025-01-01,36160,722,3500,914
2025-01-01,37310,722,3500,943
2025-01-01,38460,722,3500,972
2025-01-01,39610,722,3500,1001
2025-01-01,40760,722,3500,1030
2025-01-01,41900,722,3500,1059
2025-01-01,44970,722,3500,1136
2025-01-01,46500,722,3500,1175
2025-01-01,48030,722,3500,1214
2025-01-01,49560,722,3500,1252
2025-01-01,51100,722,3500,1291
2025-01-01,52630,722,3500,1330
2025-01-01,54160,722,3500,1369
2025-01-01,55690,722,3500,1407
2025-01-01,57220,722,3500,1446
2025-01-01,59520,722,3500,1504
2025-01-01,60290,722,3500,1524
2025-01-01,63570,722,3500,1606
