# 健保投保金額分級表（115年 / 2026年）
# self_payment_* = 健保費自付額（本人 + 眷口數）
# 費率 5.17%，雇主負擔比例 60%，員工自付 30%，政府補助 10%
# 公務人員：政府為雇主，自付 30%（員工）；眷屬每口加倍
year,effective_date,range_min,range_max,insured_salary,self_payment_0,self_payment_1,self_payment_2,self_payment_3,self_payment_4,self_payment_5,self_payment_6
115,2026-01-01,0,26400,26400,408,816,1224,1632,2040,2040,2040
115,2026-01-01,26401,27600,27600,428,856,1284,1712,2140,2140,2140
115,2026-01-01,27601,28800,28800,447,894,1341,1788,2235,2235,2235
115,2026-01-01,28801,30300,30300,470,940,1410,1880,2350,2350,2350
115,2026-01-01,30301,31800,31800,493,986,1479,1972,2465,2465,2465
115,2026-01-01,31801,33300,33300,516,1032,1548,2064,2580,2580,2580
115,2026-01-01,33301,34800,34800,540,1080,1620,2160,2700,2700,2700
115,2026-01-01,34801,36300,36300,563,1126,1689,2252,2815,2815,2815
115,2026-01-01,36301,38200,38200,593,1186,1779,2372,2965,2965,2965
115,2026-01-01,38201,40100,40100,622,1244,1866,2488,3110,3110,3110
115,2026-01-01,40101,42000,42000,651,1302,1953,2604,3255,3255,3255
115,2026-01-01,42001,43900,43900,681,1362,2043,2724,3405,3405,3405
115,2026-01-01,43901,45800,45800,710,1420,2130,2840,3550,3550,3550
115,2026-01-01,45801,48200,48200,748,1496,2244,2992,3740,3740,3740
115,2026-01-01,48201,50600,50600,785,1570,2355,3140,3925,3925,3925
115,2026-01-01,50601,53000,53000,822,1644,2466,3288,4110,4110,4110
115,2026-01-01,53001,55400,55400,859,1718,2577,3436,4295,4295,4295
115,2026-01-01,55401,57800,57800,896,1792,2688,3584,4480,4480,4480
115,2026-01-01,57801,60800,60800,943,1886,2829,3772,4715,4715,4715
115,2026-01-01,60801,63800,63800,989,1978,2967,3956,4945,4945,4945
115,2026-01-01,63801,66800,66800,1036,2072,3108,4144,5180,5180,5180
115,2026-01-01,66801,69800,69800,1083,2166,3249,4332,5415,5415,5415
115,2026-01-01,69801,72800,72800,1129,2258,3387,4516,5645,5645,5645
115,2026-01-01,72801,76500,76500,1186,2372,3558,4744,5930,5930,5930
115,2026-01-01,76501,80200,80200,1244,2488,3732,4976,6220,6220,6220
115,2026-01-01,80201,83900,83900,1301,2602,3903,5204,6505,6505,6505
115,2026-01-01,83901,87600,87600,1358,2716,4074,5432,6790,6790,6790
115,2026-01-01,87601,92100,92100,1428,2856,4284,5712,7140,7140,7140
115,2026-01-01,92101,96600,96600,1498,2996,4494,5992,7490,7490,7490
115,2026-01-01,96601,101100,101100,1568,3136,4704,6272,7840,7840,7840
115,2026-01-01,101101,105600,105600,1638,3276,4914,6552,8190,8190,8190
115,2026-01-01,105601,110100,110100,1708,3416,5124,6832,8540,8540,8540
115,2026-01-01,110101,115500,115500,1791,3582,5373,7164,8955,8955,8955
115,2026-01-01,115501,120900,120900,1875,3750,5625,7500,9375,9375,9375
115,2026-01-01,120901,126300,126300,1959,3918,5877,7836,9795,9795,9795
115,2026-01-01,126301,131700,131700,2042,4084,6126,8168,10210,10210,10210
115,2026-01-01,131701,137100,137100,2126,4252,6378,8504,10630,10630,10630
115,2026-01-01,137101,142500,142500,2210,4420,6630,8840,11050,11050,11050
115,2026-01-01,142501,147900,147900,2293,4586,6879,9172,11465,11465,11465
115,2026-01-01,147901,156400,156400,2426,4852,7278,9704,12130,12130,12130
115,2026-01-01,156401,164900,164900,2558,5116,7674,10232,12790,12790,12790
115,2026-01-01,164901,173400,173400,2690,5380,8070,10760,13450,13450,13450
115,2026-01-01,173401,182000,182000,2823,5646,8469,11292,14115,14115,14115
115,2026-01-01,182001,219000,219000,3397,6794,10191,13588,16985,16985,16985
