# 退撫舊制自付額表
# 費率 10.5%（員工自付），以本俸為基準
# 114 年公務人員俸額依 DGPA 附表二換算
system,effective_date,point,base_salary,self_payment
old,2025-01-01,160,13380,1405
old,2025-01-01,170,13920,1462
old,2025-01-01,180,14460,1518
old,2025-01-01,190,15000,1575
old,2025-01-01,200,15540,1632
old,2025-01-01,210,16090,1689
old,2025-01-01,220,16630,1746
old,2025-01-01,230,17390,1826
old,2025-01-01,240,18160,1907
old,2025-01-01,250,18920,1987
old,2025-01-01,260,19690,2067
old,2025-01-01,270,20460,2148
old,2025-01-01,280,21220,2228
old,2025-01-01,290,21990,2309
old,2025-01-01,300,22750,2389
old,2025-01-01,310,23520,2470
old,2025-01-01,320,24290,2550
old,2025-01-01,330,25050,2630
old,2025-01-01,340,25820,2711
old,2025-01-01,350,26580,2791
old,2025-01-01,360,27350,2872
old,2025-01-01,370,28120,2953
old,2025-01-01,385,29270,3073
old,2025-01-01,400,30410,3193
old,2025-01-01,415,31560,3314
old,2025-01-01,430,32710,3435
old,2025-01-01,445,33860,3555
old,2025-01-01,460,35010,3676
old,2025-01-01,475,36160,3797
old,2025-01-01,490,37310,3918
old,2025-01-01,505,38460,4038
old,2025-01-01,520,39610,4159
old,2025-01-01,535,40760,4280
old,2025-01-01,550,41900,4400
old,2025-01-01,590,44970,4722
old,2025-01-01,610,46500,4882
old,2025-01-01,630,48030,5043
old,2025-01-01,650,49560,5204
old,2025-01-01,670,51100,5366
old,2025-01-01,690,52630,5526
old,2025-01-01,710,54160,5687
old,2025-01-01,730,55690,5847
old,2025-01-01,750,57220,6008
old,2025-01-01,780,59520,6250
old,2025-01-01,790,60290,6330
old,2025-01-01,800,63570,6675
